id,title_en,title_de,language,faculty,cp,level,level_band,kind,primary_cluster,secondary_clusters,topic_tags,competencies,module_code,source,source_url,description_en,notes
etit-adsorption-und-heterogene-katalyse,,Adsorption und heterogene Katalyse,de,FEIT,3,Master,core,course,sim_num,,adsorption; catalysis; reactor design; separation,Characterize adsorbents and quantify adsorption equilibria of mixtures; Design fixed-bed adsorbers for separation processes; Identify effective reaction rates of heterogeneous catalysts; Apply transient reactor operating modes and industrial chromatography concepts,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Course on adsorption equilibria, fixed-bed adsorber design, heterogeneous catalysis kinetics and industrial chromatography processes.",
etit-advanced-linear-control,Advanced Linear Control,Advanced Linear Control,en,FEIT,3,Master,advanced,course,robotics,sim_num,state-space control; mimo systems; lqr,"Analyze MIMO LTI systems for stability, controllability and observability; Use canonical state representations and Kalman decomposition; Design state feedback controllers via eigenvalue assignment and LQR; Design state observers to reconstruct unmeasured states",,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,Advanced state-space methods for analysis and control of continuous- and discrete-time MIMO LTI systems with feedback and observer design.,
etit-advanced-pcb-design,Advanced PCB Design,Advanced PCB Design,en,FEIT,4,Master,advanced,course,manufacturing,design_plm,pcb design; layout; electronics manufacturing; circuit implementation,Develop and implement electrical circuits on printed circuit boards; Select components and materials for PCB design; Place and route components considering layout constraints; Apply strategies for error detection and correction in manufactured boards,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,Teaches the design and manufacturing of printed circuit boards from conceptualization through component placement to error correction.,
etit-advanced-process-systems-engineering,,Advanced Process Systems Engineering,both,FEIT,120,Master,advanced,course,sim_num,energy_sustain,process systems engineering; modeling; model reduction; multiphase,Derive multiscale mathematical models of chemical and biochemical production systems; Model multiphase systems with interfacial transport phenomena; Apply advanced model-reduction techniques; Analyze and design complex continuum process systems,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Advanced course on multiscale mathematical modeling, multiphase systems and model reduction for chemical and biochemical production systems.",
etit-alternative-energien-regenerative-energiequellen,,Alternative Energien / Regenerative Energiequellen,de,FEIT,3,Master,core,course,energy_sustain,,renewable energy; photovoltaics; energy storage; smart grid,"Assess effects of renewable electricity on the power supply system; Evaluate photovoltaic, wind and hydropower generation potentials; Analyze fuel cells and electrical energy storage options; Understand grid integration of decentralized renewable generators",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Course on generating electricity from renewable sources and integrating photovoltaics, wind, fuel cells and storage into the energy system.",
etit-analog-and-mixed-signal-systems,Analog and Mixed-Signal Systems,Analog and Mixed-Signal Systems,en,FEIT,4,Master,advanced,course,sim_num,,analog circuits; mixed-signal; noise analysis; data converters,"Design and analyze analog and mixed-signal electronic systems; Characterize noise and nonlinearities in analog circuits; Design frequency-conversion systems, oscillators and PLLs; Analyze amplifiers at transistor level using analytical and simulation methods",,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Provides design and analysis of analog and mixed-signal systems including noise, amplifiers, oscillators, PLLs and data converters.",
etit-analysis-and-calculation-of-electrical-systems,Analysis and Calculation of Electrical Systems,Analyse und Berechnung elektrischer Systeme,de,FEIT,3,Master,core,course,sim_num,,circuit simulation; numerical methods; electrical networks,"Apply analytical and numerical methods to analyze electrical networks; Simulate electromagnetic field problems with finite-difference methods; Map mechanical systems onto equivalent electrical networks; Use MATLAB, Octave, Python or SPICE for system simulation",,Modulhandbuch M.Sc. Mechatronik (PDF),,Course on analytical and numerical methods for simulating electrical networks and electromagnetic field problems using computational tools.,
etit-antennas-and-antenna-systems,Antennas and Antenna Systems,Antennen und Antennensysteme (bisher Hochfrequenztechnik III),de,FEIT,3,Master,advanced,course,sim_num,,antennas; high-frequency technology; electromagnetics; microwave,Select and dimension antennas for specific applications; Optimize antennas using perturbation and variational calculus; Apply near-field to far-field transformation; Analyze microwave circuits using three-dimensional modal analysis,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Covers selection, dimensioning and optimization of antennas using variational and perturbation methods and modal analysis.",
etit-anwendung-stochastischer-modelle-in-der-elektrom,,Anwendung Stochastischer Modelle in der Elektromagnetischen,de,FEIT,90,Master,advanced,course,sim_num,,stochastic models; electromagnetic compatibility; cable coupling; measurement,Apply stochastic models to electromagnetic compatibility problems; Model electromagnetic cable coupling in random structures; Describe reverberation chambers as stochastic test environments; Use plane-wave field descriptions and correlation functions; Interpret and evaluate EMC measurement results,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Application of stochastic models to electromagnetic compatibility, modelling cable coupling and reverberation-chamber test environments.",
etit-application-of-discrete-event-systems,,Application of Discrete Event Systems,en,FEIT,3,Master,core,course,sim_num,industry40,discrete event systems; scheduling; production systems; simulation,Apply discrete-event system methods to real application domains; Model and analyze processes with advanced discrete-event concepts; Formulate and solve scheduling problems using genetic algorithms; Verify complex flexible production systems via discrete-event models,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Course applying discrete-event system methods to scheduling and flexible production, including simulation, analysis and verification.",
